Academy Craft, AcademyCraft-1.1.3.jar
LittleTiles, LittleTiles_v1.5.0-pre199_71_mc1.12.2.jar
Loli Library, lolilib-1.0.jar
MAGE, MAGE-0.2.4.jar
MTLib, MTLib-3.0.6.jar
Magneticraft, Magneticraft_1.12-2.8.3-dev.jar
Metallurgy 4: Reforged, Metallurgy-4-Reforged-1.2.0-alpha.1.jar
Midnight, themidnight-0.3.5.jar
Minecoprocessors, minecoprocessors-1.12.2-5.jar
Minecraft Multipart Plugin, ForgeMultipart-1.12.2-2.6.2.83-universal.jar
Mod Name Tooltip, modnametooltip_1.12.2-1.10.1.jar
Mod Tweaker, modtweaker-4.0.18.jar
ModelLoader, modelloader-1.1.7.jar
MoreOverlays, moreoverlays-1.15.1-mc1.12.2.jar
Mouse Tweaks, MouseTweaks-2.10-mc1.12.2.jar
Mysterious Mountain Lib, MMLib-2.1.0.jar
Mystical Lib, mysticallib-1.12.2-1.9.0.jar
Mystical World, mysticalworld-1.12.2-1.9.2.jar
NetherPortalFix, NetherPortalFix_1.12.1-5.3.17.jar
NuclearCraft, NuclearCraft-2o.4.7-1.12.2.jar
OnlinePictureFrame, OnlinePicFrame_v1.5.0-pre1_mc1.12.2.jar
OpenComputers, OpenComputers-MC1.12.2-1.7.5.192.jar
PMR, PerspectiveModRedux-1.12.2-0.0.5.jar
Patchouli, Patchouli-1.0-21.jar
Paths, paths-1.6.1.jar
Performant Mod, performant-1.12.2-1.10.jar
Phosphor Lighting Engine, phosphor-forge-mc1.12.2-0.2.7-universal.jar
Placebo, Placebo-1.12.2-1.6.0.jar
Plethora, plethora-1.12.2-1.2.3.jar
Plethora Core, plethora-1.12.2-1.2.3.jar
Plonk, plonk-1.12.2-5.0.3.jar
PrimalCore, PrimalCore-1.12.2-0.6.105.jar
PrimalTerra, primalterra-0.1.jar
Progressive Bosses, ProgressiveBosses-1.5.4-mc1.12.x.jar
ProjectE, ProjectE-1.12.2-PE1.4.1.jar
Psi, Psi-r1.1-78.2.jar
Pyralfish Mod, AdvancedTFCTech-0.1.3.jar
Pyrotech, pyrotech-1.12.2-1.5.0.jar
Quark, Quark-r1.6-179.jar
RLTweaker, RLTweaker-1.12.2-0.4.1.jar
Railcraft, railcraft-12.0.0.jar
Random Things, RandomThings-MC1.12.2-4.2.7.4.jar
RandomPatches, randompatches-1.12.2-1.22.1.3.jar
RandomTweaks, randomtweaks-1.12.2-2.8.2.0.jar
ReAuth, reauth-3.6.0.jar
Redpill, redpill-1.0.jar
Redstone Arsenal, RedstoneArsenal-1.12.2-2.6.6.1-universal.jar
Redstone Flux, RedstoneFlux-1.12-2.1.1.1-universal.jar
Redstone Repository, RedstoneRepository-1.12.2-1.4.0-dev-universal.jar
Reliquary, Reliquary-1.12.2-1.3.4.796.jar
Resource Loader, ResourceLoader-MC1.12.1-1.5.3.jar
Roots, Roots-1.12.2-3.0.32.jar
Rustic, rustic-1.1.7.jar
Rustic Thaumaturgy, Rustic+Thaumaturgy-4.4a.jar
Sakura, Sakura-1.0.3.4-1.12.2.jar
Shadowfacts' Forgelin, Forgelin-1.8.4.jar
Surge, Surge-1.12.2-2.0.79.jar
TFC Aged Drinks, TFCAgedDrinks-1.0.4.jar
TFC Metallum, TFC-Metallum-MC1.12.2-1.4.0.jar
TFC Storage, TFCStorage-1.0.6.jar
TeaStory, TeaStory-3.3.3-B33.418-1.12.2.jar
TerraFirmaCraft, TerraFirmaCraft-MC1.12.2-1.7.9.167.jar
TerraFirmaThings, terrafirmathings-1.2.4.jar
Thaumcrafft Inventory Scanning, ThaumicInventoryScanning_1.12.2-2.0.10.jar
Thaumcraft, Thaumcraft-1.12.2-6.1.BETA26.jar
Thaumic Energistics, thaumicenergistics-2.1.0.jar
Thaumic Equivalence, ThaumicEquivalence-1.12.2-1.0.5.jar
Thaumic Speedup, thaumicspeedup-2.0.jar
The Aurorian, theaurorian-1.12.2-release-oct0720.jar
The Betweenlands, TheBetweenlands-3.7.1-universal.jar
The Twilight Forest, twilightforest-1.12.2-3.11.1021-universal.jar
The Weirding Gadget, weirdinggadget-1.12.2-2.1.16-universal.jar
Thermal Expansion, ThermalExpansion-1.12.2-5.5.7.1-universal.jar
Thermal Foundation, ThermalFoundation-1.12.2-2.6.7.1-universal.jar
Thermal Innovation, ThermalInnovation-1.12.2-0.3.6.1-universal.jar
Time4TFC, Time4TFC-MC1.12.2-1.0.3.jar
Totemic, Totemic-1.12.2-0.11.6.jar
Touhou Little Maid, touhoulittlemaid-1.12.2-1.2.3-release.jar
VanillaFix, VanillaFix-1.0.10-150.jar
Waila, Hwyla-1.8.26-B41_1.12.2.jar
Waila Harvestability, WailaHarvestability-mc1.12-1.1.12.jar
WarpDrive, WarpDrive-1.12.2-1.5.19.jar
What Are We Looking At, Wawla-1.12.2-2.6.275.jar
WirelessRedstone-CBE, WR-CBE-1.12.2-2.3.2.33-universal.jar
Wizardry, wizardry-0.11.1.jar
Xaero's Minimap, Xaeros_Minimap_20.24.0_Forge_1.12.jar
Xaero's World Map, XaerosWorldMap_1.11.0_Forge_1.12.jar
YUNG's Better Caves, bettercaves-1.12.2-2.0.4.jar
YUNG's Better Mineshafts, BetterMineshaftsForge-1.12.2-2.1.1.jar
